Protein_ID,Tm
Q72LH3_TT_C0086,74.877
Q72L86_clpA,74.889
Q72I20_rplR,74.903
Q72I04_rplC,74.907
Q72GJ8_phoB,74.914
Q72GE4_murE,74.998
Q72LQ3_TT_C0005,75.017
Q72KR6_mqnE,75.087
Q72HT7_TT_C1399,75.133
Q72J77_recG,75.135
Q72HA7_TT_C1588,75.154
Q72IN1_rplM,75.174
Q72L56_TT_C0207,75.207
P62667_rpsG,75.21
Q72J09_dppB,75.231
Q72KY9_TT_C0276,75.235
Q72HJ5_TT_C1492,75.237
Q72K53_ftsK,75.37
Q72GD9_TT_C1909,75.385
P62664_rpsD,75.488
Q72JP5_ftsA,75.507
Q72L14_clpX,75.523
P62655_rpsM,75.534
Q72KY0_TT_C0285,75.605
Q746M7_TT_P0026,75.606
Q8VUS5_lysK,75.641
Q746Q1_TT_P0001,75.659
Q72I09_rplV,75.696
Q72J94_TT_C0885,75.875
Q72LC8_clR,75.901
Q72JB3_leuC,75.903
Q72KF5_phzF,76.134
Q72GC0_TT_C1928,76.15
Q72K88_TT_C0559,76.174
P61671_mutS,76.259
Q8VRK4_dprA,76.297
Q72JP4_ftsZ,76.303
Q72JR8_rho,76.319
Q746N0_cobQ,76.361
Q72GQ3_TT_C1795,76.378
Q72HX7_TT_C1355,76.415
P62665_rpsE,76.438
Q72I58_prs,76.466
Q72GU0_rlmH,76.489
Q72KI6_TT_C0489,76.489
Q72IB2_TT_C1220,76.505
Q72JP1_mqnC,76.545
Q72GH2_TT_C1876,76.703
Q746H1_parA,76.764
Q746B7_fdhD,76.772
Q72GF3_TT_C1895,76.795
Q72L10_TT_C0255,76.834
Q72L76_rplT,76.851
Q72LF3_TT_C0106,76.886
Q72GT5_TT_C1763,76.941
Q745U7_TT_P0210,77.005
Q72I55_speA,77.032
Q72J43_TT_C0938,77.036
Q72GJ0_TT_C1858,77.138
Q72KK6_TT_C0305,77.236
P16608_trpA,77.263
Q72KK5_TT_C0443,77.347
Q72KE4_TT_C0502,77.394
Q72KK0_TT_C0448,77.4
Q72IE4_TT_C1188,77.459
Q72KU0_pyrB,77.462
Q72KN5_TT_C0373,77.519
Q72IB8_TT_C1214,77.572
Q72IX8_TT_C1003,77.617
Q72GV3_TT_C1745,77.628
Q72JQ1_murD,77.663
Q72LB4_TT_C0145,77.684
Q72KM1_TT_C0312,77.73
Q72LI0_TT_C0079,77.736
Q72ID0_TT_C1202,77.763
P62476_rsmH,77.793
Q72GY1_TT_C1717,77.795
Q8VRL0_pilT,77.833
Q72KU3_pyrD,77.851
Q72IC8_TT_C1204,77.855
Q72JP9_murG,77.86
Q745Y8_TT_P0167,77.876
Q72I66_sfuC,77.89
Q72GD3_TT_C1915,78.021
Q72HR2_rplU,78.034
Q746I9_TT_P0066,78.049
Q72HR7_lytR,78.053
Q72K18_livF,78.084
Q72IC7_TT_C1205,78.095
Q72JF0_ychF,78.117
Q8VRL3_pilC,78.144
Q746L5_TT_P0038,78.178
Q745V7_TT_P0198,78.257
Q72J00_TT_C0981,78.257
Q72K73_TT_C0298,78.278
Q72J67_TT_C0912,78.289
Q72GJ2_TT_C1856,78.311
Q72IH7_purL,78.325
P62653_rpsJ,78.422
Q72JS9_TT_C0689,78.424
Q72LF8_appD,78.427
Q72KS4_lon1,78.494
Q72J92_secA,78.52
Q72KX7_TT_C0288,78.526
Q72JZ9_TT_C0619,78.572
Q72GP3_TT_C1805,78.623
Q72KY3_TT_C0282,78.641
Q746E4_TT_P0111,78.649
Q72GS6_TT_C1772,78.688
Q72JK5_TT_C0767,78.719
Q72K69_prkA,78.782
Q72KG6_TT_C0369,78.823
Q72I19_rplF,78.852
Q72LC7_merR,78.857
Q72KK7_TT_C0304,78.858
P62658_rpsQ,78.873
Q72K11_paaB,78.887
Q72KW2_TT_C0402,78.925
Q72IA1_TT_C1231,78.973
Q72KK1_TT_C0447,79.057
Q72HJ6_trpD,79.101
Q72KI0_TT_C0480,79.22
Q72GY8_TT_C1708,79.25
Q72H32_fmt,79.253
Q72IA2_TT_C1230,79.292
Q72JX0_TT_C0648,79.304
Q8KPZ1_comZ,79.316
Q72JF5_TT_C0817,79.334
Q72KV9_TT_C0405,79.433
Q72HW1_TT_C1371,79.452
Q72HP4_TT_C1442,79.488
Q72LE8_TT_C0111,79.497
Q60050_proB,79.505
Q72JD1_TT_C0847,79.51
Q72K32_TT_C0586,79.52
Q72JV3_TT_C0665,79.557
Q72GX7_recF,79.694
Q72KQ7_TT_C0461,79.71
Q72IQ1_TT_C1081,79.714
Q72J83_dnaG,79.741
Q72JY5_TT_C0633,79.775
Q72HU8_TT_C1386,79.798
Q72GA8_TT_C1940,79.841
Q72IN0_pyrG,79.85
Q72I91_TT_C1241,79.85
Q72L54_TT_C0209,79.857
Q72IK4_ftsH,79.88
Q72LL5_TT_C0044,79.893
Q72GV9_rplA,79.908
Q72HS1_pilT,79.935
Q72H81_dxs,79.964
Q72HX4_pacS,80.009
Q72LK5_TT_C0054,80.01
Q9ZNE0_hacA,80.053
Q746J9_TT_P0054,80.067
Q72L67_TT_C0196,80.071
Q72KL0_TT_C0301,80.073
Q72HC8_TT_C1567,80.107
Q72GH1_TT_C1877,80.117
Q72HD6_TT_C1557,80.12
Q72GW9_pepA,80.155
Q72IJ3_TT_C1139,80.16
Q72IH6_purF,80.178
Q72KR3_TT_C0455,80.193
Q72HE1_TT_C1552,80.196
O87197_uppS,80.284
Q72LD4_vapC,80.297
Q72L21_bioB,80.299
Q72IU4_ccmF,80.309
Q72HK4_glnQ,80.324
Q72I06_rplW,80.326
Q72KF6_TT_C0357,80.443
Q72LD2_glcF,80.507
Q72J06_TT_C0975,80.534
Q72H31_TT_C1664,80.548
Q72KW8_TT_C0332,80.582
Q72LB2_TT_C0147,80.597
Q72I50_mutS,80.633
Q72IG3_TT_C1169,80.664
Q72H62_TT_C1633,80.701
Q72JP7_murB,80.724
Q72LA1_TT_C0158,80.735
Q72HL0_TT_C1477,80.778
P62356_hisA,80.788
Q72HP7_TT_C1439,80.796
Q72IB7_gntR,80.83
P61707_alaS,80.84
Q72GJ4_murA,80.842
Q72HQ7_TT_C1429,81.051
Q72JS1_ribA,81.057
Q72GT2_TT_C1766,81.077
Q72G82_TT_C1966,81.081
Q72JX9_TT_C0639,81.132
Q72JZ6_TT_C0622,81.145
Q72L12_TT_C0253,81.148
Q72HJ4_TT_C1493,81.17
Q72JV2_TT_C0666,81.26
Q746H0_TT_P0085,81.288
Q72KM6_TT_C0382,81.318
Q72IM0_TT_C1112,81.363
Q72HL8_TT_C1469,81.427
Q72H18_ispG,81.442
Q72JH2_TT_C0800,81.443
Q72KP4_TT_C0321,81.445
Q72H71_TT_C1624,81.536
Q72JS7_glmM,81.56
Q72I05_rplD,81.613
Q72GS1_rplJ,81.633
Q72GM0_TT_C1828,81.645
Q72KY5_TT_C0280,81.657
Q72JJ4_TT_C0778,81.682
Q72GS0_TT_C1778,81.69
O50147_lysZ,81.701
Q72JY0_TT_C0638,81.712
Q746I1_aidB,81.716
Q72HX1_phoR,81.733
Q72IB3_TT_C1219,81.772
Q84B24_mpgS,81.802
Q72LQ2_vdcC,81.826
Q72HQ6_TT_C1430,81.833
Q72KP6_thiC,81.855
Q746C7_TT_P0128,81.88
Q72HL4_TT_C1473,81.894
Q72J56_sbcD,81.912
Q72J63_TT_C0916,81.92
Q72HY6_TT_C1346,81.927
Q72K64_TT_C0463,81.972
Q72HM7_TT_C1459,81.974
Q746A8_TT_P0147,81.979
Q72JH8_TT_C0794,82.012
Q72IB0_gyrB,82.062
Q72HX9_TT_C1353,82.071
Q72HF6_uvrB,82.116
Q72G73_TT_C1975,82.138
Q72IW2_aroK,82.142
Q72IY8_TT_C0993,82.144
Q72G66_nifR,82.158
Q72IR0_TT_C1072,82.179
Q72I24_secY,82.21
Q745T2_TT_P0225,82.269
Q72HK1_TT_C1486,82.309
Q72KE6_TT_C0499,82.315
Q72I42_TT_C1290,82.342
Q72IV6_der,82.342
Q72L01_hslU,82.37
Q746E5_TT_P0110,82.374
Q72H27_TT_C1668,82.402
Q72HH9_TT_C1508,82.409
Q72II9_hemD,82.423
Q72IU9_TT_C1032,82.454
Q72LD7_TT_C0122,82.463
Q72JY9_TT_C0629,82.47
Q72J33_TT_C0948,82.496
Q72K70_asnC,82.5
Q72KX8_wbpB,82.501
Q72K60_TT_C0467,82.52
Q72GB8_TT_C1930,82.56
Q72IG5_truD,82.589
Q72J90_TT_C0889,82.591
Q72I83_TT_C1249,82.594
Q8RQU3_pilM,82.603
Q746C9_TT_P0126,82.622
Q72H73_pilF,82.624
Q93HR1_gyrB,82.633
P61488_ask,82.66
Q72K25_TT_C0593,82.67
Q72JA3_potA,82.718
Q72HL3_TT_C1474,82.754
Q72GC8_nuoA,82.782
Q72HG1_TT_C1526,82.806
Q72HM9_TT_C1457,82.841
Q72KT3_TT_C0434,82.873
Q72IE0_TT_C1192,82.879
Q72HL7_TT_C1470,82.913
Q72IQ7_uvrA,82.921
Q72IM8_TT_C1104,82.941
Q746H8_TT_P0077,82.951
Q72J04_TT_C0977,82.954
Q72LB6_TT_C0143,82.96
Q72JX4_TT_C0644,82.963
Q72IZ5_TT_C0986,82.968
Q72GQ4_TT_C1794,83.076
Q72GD4_TT_C1914,83.084
Q72G70_TT_C1978,83.131
Q72L97_TT_C0162,83.161
Q72IE5_guaA,83.2
Q72KV3_TT_C0388,83.232
Q72GV1_lipA,83.246
Q72GV2_lipB,83.253
Q72KV2_lepA,83.264
Q8GR85_gdhA-2,83.277
Q72GX8_TT_C1720,83.304
Q72IY0_TT_C1001,83.321
Q72LK2_TT_C0057,83.325
Q72HP0_TT_C1446,83.383
Q8VRL6_pilO,83.419
Q72LI7_TT_C0072,83.428
Q746N9_cbiG,83.475
Q72KI3_acuB,83.527
Q72IJ4_TT_C1138,83.535
Q72HH0_folE,83.557
Q8KLI7_udgb,83.581
Q72H39_TT_C1656,83.582
Q72G64_TT_C1984,83.628
Q72GC7_rsmA,83.649
Q72KD5_mutT,83.712
Q72HK5_TT_C1482,83.73
Q745T6_TT_P0221,83.756
Q72G62_TT_C1986,83.809
Q72IR7_TT_C1065,83.902
Q72KJ3_TT_C0441,83.91
Q72HT2_TT_C1404,84
P62666_rpsF,84.071
Q72HD7_TT_C1556,84.209
Q72GM5_TT_C1823,84.275
Q72IA0_TT_C1232,84.287
Q72K91_TT_C0556,84.31
Q72IH5_TT_C1157,84.322
Q72GX9_TT_C1719,84.338
Q72GB5_vanW,84.339
O87198_lys20,84.359
Q72KX0_TT_C0330,84.366
Q72GR3_TT_C1785,84.381
Q746H7_TT_P0078,84.382
Q72GN5_TT_C1813,84.388
Q72JF8_TT_C0814,84.408
Q8GR86_gdhA-1,84.453
Q72LC5_TT_C0134,84.474
Q72HF3_TT_C1534,84.513
Q72JF3_TT_C0819,84.521
Q72GT7_birA,84.524
Q72GG2_TT_C1886,84.53
Q746F3_TT_P0102,84.53
Q72GC1_TT_C1927,84.541
Q72HF0_TT_C1537,84.571
Q72HA4_TT_C1591,84.603
Q72GP2_TT_C1806,84.615
Q72KN3_TT_C0374,84.655
Q72GH0_TT_C1878,84.662
Q72H51_TT_C1644,84.674
Q72I62_dppB,84.721
Q72HA3_TT_C1592,84.792
Q72G96_TT_C1952,84.887
Q72HK0_TT_C1487,84.898
Q72JS0_TT_C0698,84.912
Q72IV3_thrB,84.931
Q72KP1_exbD,84.933
Q72HT1_TT_C1405,84.958
Q72JG9_ecJ,84.98
Q72H42_TT_C1653,84.988
Q9ZND9_hacB,84.998
Q72JC9_leuA,85.03
Q72K16_TT_C0602,85.032
Q72KL8_thiE,85.047
Q72L37_TT_C0226,85.069
Q72K62_TT_C0465,85.091
Q746K1_TT_P0052,85.148
Q72GL7_TT_C1831,85.151
Q72GQ9_TT_C1789,85.18
Q72H19_tgt,85.222
Q72IQ5_trmFO,85.224
P61661_hisB,85.225
Q72JT0_aroE,85.304
Q745V1_vapC,85.306
Q72K09_tetR,85.323
Q72KR7_mqnA,85.324
Q72JP8_TT_C0720,85.332
Q72H61_TT_C1634,85.339
Q746F4_cas2b,85.353
Q72JZ1_TT_C0627,85.393
Q72KB7_rfaG,85.498
Q745V6_TT_P0199,85.555
Q72KR9_TT_C0422,85.564
Q72IZ9_nfi,85.6
Q72GK0_TT_C1848,85.64
Q72JA4_potB,85.651
Q745Z0_TT_P0165,85.688
Q72LA7_TT_C0152,85.689
P96495_carB,85.705
Q72JV1_TT_C0667,85.732
Q8KZT3_icd,85.743
Q72L61_TT_C0202,85.776
Q72GU1_TT_C1757,85.791
Q72JM8_TT_C0744,85.835
Q72JV0_TT_C0668,85.904
Q72IZ3_TT_C0988,85.929
Q72LI4_yidC,85.945
Q72H46_TT_C1649,85.997
Q72HN8_TT_C1448,86.035
Q72GI8_nrdR,86.05
Q72JJ3_TT_C0779,86.062
P61781_hisH,86.083
Q746L7_TT_P0036,86.087
Q72K01_TT_C0617,86.112
Q72GP4_TT_C1804,86.162
Q72IC9_mqnD,86.199
Q72IH9_purQ,86.202
Q746J6_TT_P0059,86.239
Q72L79_TT_C0181,86.269
Q745V3_TT_P0204,86.279
Q72G93_TT_C1955,86.298
Q72J13_livM,86.311
Q72KZ1_TT_C0274,86.36
Q72JU7_rimM,86.366
Q72I26_map,86.367
Q72KN1_TT_C0376,86.388
Q72GH8_TT_C1870,86.402
Q9WX77_,86.427
Q72GU2_TT_C1756,86.432
Q72JM0_TT_C0752,86.478
Q72H98_pfkA,86.523
Q72GZ0_carA,86.529
Q72LL2_TT_C0047,86.54
Q9F0S9_tmpR,86.578
Q72HH6_TT_C1511,86.596
Q72K12_paaC,86.605
Q72IY4_TT_C0997,86.61
Q72KW3_TT_C0401,86.62
Q745U6_TT_P0211,86.631
Q72JT2_TT_C0686,86.632
Q746P7_cobT,86.635
Q72LF6_acuB,86.636
Q72KV5_TT_C0386,86.647
Q72IZ1_gyrA,86.671
Q72II1_purC,86.705
Q72JE2_TT_C0830,86.717
Q72HF4_glmS,86.732
Q72HM1_rny,86.749
Q72H23_TT_C1672,86.753
Q72KT9_pyrR,86.755
Q72GV7_TT_C1741,86.756
Q72L46_TT_C0217,86.756
Q72JU6_TT_C0672,86.765
Q72IA3_TT_C1229,86.775
Q72HZ3_TT_C1339,86.776
Q72IF1_TT_C1181,86.781
Q72KL4_TT_C0307,86.783
Q746H2_parB,86.798
Q72L59_miaA,86.821
Q72K14_paaZ,86.825
Q72IP2_TT_C1090,86.826
Q72KE3_TT_C0503,86.85
Q746P6_TT_P0006,86.896
Q72JE0_TT_C0832,86.925
Q72JI1_merR,86.968
Q72GA4_TT_C1944,86.979
Q746H9_TT_P0076,86.986
Q72L63_TT_C0200,86.991
Q72LF5_TT_C0104,87.017
Q72KJ6_TT_C0438,87.033
Q72GW5_TT_C1733,87.073
Q746J3_TT_P0062,87.108
Q72LI5_TT_C0074,87.126
Q72J35_upp,87.145
Q72J47_rpiA,87.192
Q846D0_,87.204
Q72LD0_TT_C0129,87.228
Q72KN9_thiG,87.249
Q72LD1_glcE,87.261
P61494_leuB,87.28
Q746G0_msrA,87.285
Q72KC4_TT_C0523,87.293
P62374_hisS,87.307
Q72KN7_TT_C0371,87.319
Q72LH0_cmk,87.332
Q72J91_tsaD,87.342
Q746N6_TT_P0017,87.362
Q72KY1_TT_C0284,87.378
Q72HZ2_TT_C1340,87.39
Q72IX5_TT_C1006,87.391
Q72JG2_trkA,87.411
Q72LC4_TT_C0135,87.418
Q72KT0_TT_C0412,87.422
Q72L20_TT_C0243,87.426
Q72JI7_TT_C0785,87.432
Q72IY1_TT_C1000,87.455
Q72KR1_TT_C0457,87.458
Q72LN8_TT_C0020,87.459
Q72IA7_rplY,87.476
Q72L70_TT_C0193,87.486
Q72IG1_TT_C1171,87.504
Q72KU1_pyrC,87.519
Q72HL6_TT_C1471,87.549
Q746C2_cas5d,87.55
Q72JY1_TT_C0637,87.55
Q72GZ6_TT_C1699,87.555
Q72J36_TT_C0945,87.615
Q72GF9_proS,87.615
Q72GI5_TT_C1863,87.629
Q72GN0_TT_C1818,87.637
Q72L82_TT_C0178,87.651
Q72J40_TT_C0941,87.69
Q72J55_TT_C0924,87.73
Q72KH0_TT_C0365,87.733
Q746A0_TT_P0155,87.744
Q746C0_TT_P0135,87.751
Q72LP6_TT_C0012,87.767
Q72I90_TT_C1242,87.787
Q72GZ7_TT_C1698,87.819
Q72L25_TT_C0238,87.822
Q72GF2_TT_C1896,87.839
Q72LM2_TT_C0036,87.847
Q745V5_TT_P0200,87.858
Q745V4_TT_P0201,87.876
Q72L24_tetR,87.891
P61496_phr,87.951
Q72GY9_fhs,88.006
Q72H45_TT_C1650,88.028
Q72GR1_TT_C1787,88.035
Q72I40_TT_C1292,88.039
Q72IZ4_TT_C0987,88.074
Q746F8_vapC,88.074
Q72IH0_TT_C1162,88.077
Q72IX9_TT_C1002,88.085
Q72JJ7_rnj,88.086
Q72KD3_TT_C0513,88.087
Q72KB1_TT_C0536,88.106
Q72LA2_TT_C0157,88.13
Q72IE1_rnhA,88.13
Q72GF4_moeA,88.142
Q72G88_TT_C1960,88.149
Q72HS0_panC,88.153
Q72L05_ppc,88.17
Q72JB2_leuD,88.179
Q72GZ9_ruvA,88.205
Q72JK2_TT_C0770,88.279
Q72L06_TT_C0259,88.287
Q72GB6_TT_C1932,88.295
Q72J73_atpB,88.3
Q72KE2_dxr,88.309
Q72H91_spo0C,88.309
Q93R93_lysJ,88.345
Q72K24_TT_C0594,88.349
Q72II3_TT_C1149,88.367
Q72J86_TT_C0893,88.383
Q72JR3_TT_C0705,88.391
Q72JG3_trkG,88.397
P62453_hisF,88.4
Q72JC8_ilvC,88.406
Q72IT6_soxC,88.416
Q72LQ1_TT_C0007,88.48
Q72L68_ylmE,88.483
Q746C1_TT_P0134,88.491
Q72HV2_TT_C1382,88.492
Q72L58_gatA,88.515
Q72HK2_TT_C1485,88.555
Q72JK7_TT_C0765,88.572
Q72JM6_lon2,88.595
Q746P3_TT_P0010,88.596
Q72KP8_TT_C0340,88.603
Q72KT6_TT_C0431,88.603
Q72IS8_TT_C1054,88.641
Q72L19_TT_C0245,88.674
Q746M9_TT_P0024,88.694
Q72J72_atpA,88.713
Q72IL3_TT_C1119,88.725
Q72JF4_trmJ,88.73
Q72L83_asd,88.75
Q72KB8_TT_C0529,88.77
Q72KV8_TT_C0406,88.776
Q72LJ6_TT_C0063,88.816
Q72L27_TT_C0236,88.838
Q745Y4_TT_P0171,88.85
Q72JC5_TT_C0853,88.856
Q72IY2_TT_C0999,88.86
Q72LD8_TT_C0121,88.868
Q72KM2_TT_C0311,88.869
Q72H17_fabL,88.879
Q72GI9_TT_C1859,88.908
Q72KT2_TT_C0435,88.909
Q72JH5_TT_C0797,88.912
Q72KC0_TT_C0527,88.926
Q72KF2_TT_C0343,88.937
Q72KV6_sufE,88.964
Q72GG4_TT_C1884,88.972
Q72JI0_TT_C0792,88.974
Q72L95_sigA,88.985
Q72G68_glgA,88.993
Q72IP5_TT_C1087,88.994
Q72GK7_TT_C1841,89.026
Q746L6_TT_P0037,89.061
Q72K78_TT_C0293,89.07
Q72IV5_cobB,89.093
Q72HL9_cinA,89.095
Q72GT6_TT_C1762,89.105
Q746P2_TT_P0011,89.117
Q72IV2_TT_C1029,89.138
Q72GS9_truB,89.163
Q746L8_TT_P0035,89.172
Q72GU4_TT_C1754,89.192
Q745W6_TT_P0189,89.204
Q72H04_TT_C1691,89.229
Q72K49_TT_C0569,89.251
Q72IN3_TT_C1099,89.266
Q72JX5_TT_C0643,89.276
Q72L62_tdh,89.279
Q72IY9_TT_C0992,89.281
Q72LQ4_TT_C0004,89.296
Q72KA2_TT_C0545,89.303
Q72LE9_lnt,89.307
Q72I49_TT_C1283,89.32
Q72GM9_TT_C1819,89.321
Q746D3_TT_P0122,89.344
Q72KC9_TT_C0517,89.349
Q72JT7_TT_C0681,89.354
Q72H97_rsmI,89.355
Q746E3_TT_P0112,89.376
Q72K50_TT_C0568,89.396
Q745Z1_TT_P0164,89.41
Q72JU1_TT_C0677,89.438
Q72KA3_TT_C0544,89.446
Q72JR1_mtnA,89.461
Q72IB9_TT_C1213,89.473
Q72JJ6_pacL,89.502
Q72KW6_TT_C0398,89.558
Q72IE2_TT_C1190,89.572
Q72HR5_nadD,89.577
Q746E8_TT_P0107,89.581
Q72GE0_TT_C1908,89.593
Q72HP1_thiI,89.607
Q72IF6_tilS,89.623
Q72J76_TT_C0903,89.642
Q72GZ4_argH,89.643
Q72I76_TT_C1256,89.645
Q72KI1_TT_C0479,89.652
Q72GK4_TT_C1844,89.664
Q72KF0_secD,89.714
Q72JA8_ilvD,89.72
Q72LD5_TT_C0124,89.725
Q72KQ9_purN,89.744
Q72KI2_TT_C0478,89.745
Q72G87_trkA,89.749
Q846C9_,89.761
P83453_tyrS,89.806
Q72GY7_pckA,89.811
Q72IJ6_TT_C1136,89.823
Q72K77_TT_C0294,89.844
Q72JJ8_pnp,89.862
Q72LP1_glmU,89.872
Q72IZ0_TT_C0991,89.876
Q72GY3_TT_C1715,89.899
Q72I51_TT_C1281,89.91
Q72GG9_TT_C1879,89.917
Q72JT9_lysS,89.942
Q72GM4_TT_C1824,89.982
Q72HS8_accA,89.989
Q72GY5_TT_C1711,89.998
Q72ID1_bshC,90.01
P96134_argF,90.024
Q72J16_TT_C0965,90.046
Q72HS7_accD,90.051
Q72JG4_TT_C0808,90.055
Q72IV4_nnrD,90.062
Q72KW9_TT_C0331,90.073
Q72IA9_ddl,90.078
Q72HC7_TT_C1568,90.111
Q72GF6_nth,90.122
Q72IS1_TT_C1061,90.135
Q8GR83_,90.169
Q72K33_degV,90.17
Q72G79_TT_C1969,90.173
Q72HU2_TT_C1392,90.18
Q72J93_TT_C0886,90.184
Q72G71_TT_C1977,90.196
Q72I01_fusA,90.2
Q72KD6_TT_C0510,90.228
Q8VRL7_pilN,90.232
Q72L90_sucC,90.253
Q72HI6_TT_C1501,90.254
Q72GA6_priA,90.262
Q72HM6_rpoC,90.28
Q72L91_TT_C0169,90.293
Q72JG7_valS,90.298
Q72HU7_TT_C1387,90.298
Q72IH4_TT_C1158,90.339
Q72JK9_TT_C0763,90.34
Q72GD1_nuoD,90.343
Q72KB0_cysS,90.369
Q72H00_TT_C1695,90.38
Q72HB6_TT_C1579,90.393
P62030_gcvPB,90.394
Q72HH4_TT_C1513,90.398
Q72IK9_clpB,90.408
Q72KB2_TT_C0535,90.412
Q72I37_TT_C1295,90.415
Q72KM9_TT_C0379,90.419
Q72GC9_nuoB,90.432
Q72KQ8_purD,90.442
P61747_gpsA,90.48
Q72JB4_trpS,90.494
Q72J97_TT_C0882,90.496
Q72JE4_ftsI,90.508
Q72GB2_TT_C1936,90.516
Q72JN9_thyX,90.522
Q72HM5_rpoB,90.564
Q72K86_purH,90.654
Q72KE1_TT_C0505,90.71
P16609_trpB,90.747
Q72IA8_pth,90.749
Q72HA1_pheS,90.772
Q72LA9_gcvPA,90.776
Q72K65_TT_C0497,90.776
Q72KU7_TT_C0394,90.799
Q72LB1_gcvT,90.838
Q72LL1_TT_C0048,90.905
Q72LC2_purK,90.93
Q72KL5_TT_C0306,91.018
Q72I74_TT_C1258,91.026
Q746H3_TT_P0082,91.14
Q72JL4_TT_C0758,91.2
Q72JI9_TT_C0783,91.435
Q746E0_TT_P0115,91.439
Q72GD6_nuoI,91.444
Q72H85_eno,91.517
Q84B23_mpgP,91.531
Q745X5_TT_P0180,91.543
Q72H05_TT_C1690,91.832
Q72J74_atpD,91.905
Q72KB3_TT_C0534,91.921
Q72JA9_TT_C0870,92.079
Q72JS8_TT_C0690,92.263
Q746N7_TT_P0016,92.383
Q72HE8_TT_C1539,92.568
Q72H16_TT_C1679,92.666
Q72LC9_TT_C0130,92.75
Q746L4_TT_P0039,92.798
Q72JU8_trmD,93.019
Q72IL1_TT_C1121,93.438
Q746D7_TT_P0118,94.414
Q72HE9_nadE,95.297
Q72JY2_TT_C0636,95.411
Q72JM3_TT_C0749,95.496
Q72GY6_pgi,95.515
P62420_pgk,96.097
Q746I4_TT_P0071,96.203
Q72HB9_mutT,96.371
Q72IP9_TT_C1083,96.756
Q72JR6_ileS,97.048
Q72LI9_gltX,97.377
P34945_serS,97.878
Q72JM7_TT_C0745,98.183
Q72LK7_TT_C0052,98.421
Q72IG9_TT_C1163,98.484
Q72JL7_folD,98.718
Q72HD8_TT_C1555,98.94
Q6KZ53_PTO1414,62.316
Q6L002_PTO1115,62.475
Q6L1S7_atpA,62.6
Q6L294_rpl13,62.818
Q6L124_PTO0743,62.825
Q6L1C4_rpl2,62.945
Q6KZT1_PTO1186,63.115
Q6L0L8_PTO0899,63.204
Q6L131_PTO0736,63.292
Q6L283_PTO0334,63.297
Q6L1X9_rpl1,63.419
Q6KZM2_PTO1245,63.489
Q6L0P4_rfcL,63.515
Q6L1I0_rfcS,63.518
Q6L0R1_smc,63.575
Q6L195_lig,63.614
Q6KZH1_PTO1296,63.66
Q6L0P2_rpl15e,63.718
Q6L2K8_PTO0209,63.721
Q6L139_PTO0728,63.744
Q6KZ22_PTO1445,63.769
Q6KZP7_rps4,63.784
Q6L1W3_tgtA,63.794
Q6L2Z0_PTO0076,63.87
Q6L0E8_ribK,63.905
Q6L1Z4_alaS,64.007
Q6L0C4_PTO0993,64.088
Q6L024_PTO1093,64.13
Q6L2H1_PTO0246,64.156
Q6L1B8_rps17,64.264
Q6KZN7_PTO1230,64.299
Q6KZF9_queC,64.308
Q6L2G6_PTO0251,64.338
Q6L2H8_rad50,64.34
Q6L1C7_rpl3,64.396
